CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0092,0.999504562290352,C0007,0.9972550398926888,C0146,0.9967664972307526
C0002,C0157,0.9999873921321468,C0029,0.9996428214763113,C0076,0.9996340577191575
C0003,C0160,0.9984522524315238,C0111,0.9981050693261762,C0147,0.9980060112815593
C0004,C0162,0.9993190929662067,C0090,0.9987069243288506,C0165,0.9976257192745226
C0005,C0167,0.9999682737652041,C0020,0.9995673676039587,C0198,0.9990481549308676
C0006,C0079,0.9999942357787912,C0117,0.9993284230287445,C0196,0.9981513910586578
C0007,C0146,0.9999197605675461,C0092,0.998717145389122,C0125,0.9981550334208427
C0008,C0136,0.9996190566961377,C0124,0.9985760360882832,C0195,0.9983920005220527
C0009,C0130,0.9999676087124627,C0005,0.9990332250632543,C0015,0.9989242658337684
C0010,C0176,0.9987431457651521,C0027,0.9959284993277602,C0030,0.994144088778726
C0011,C0100,0.9996683078589557,C0139,0.9995912594493497,C0023,0.999351136705343
C0012,C0101,0.9998706049175727,C0065,0.999648757124798,C0156,0.999409382781445
C0013,C0021,0.999760019573442,C0155,0.9992797450966339,C0138,0.9985262076392293
C0014,C0097,0.9987746180409547,C0119,0.9980538446069288,C0083,0.997003411265167
C0015,C0177,0.9998498918816515,C0150,0.9997826504598146,C0130,0.9991716530846726
C0016,C0040,0.9996059024449798,C0154,0.9993883633224805,C0066,0.9986219591737207
C0017,C0113,0.9994692018376398,C0169,0.9985611278472202,C0075,0.995950188327305
C0018,C0045,0.9999221796881262,C0041,0.9986480970074594,C0068,0.9972854212342127
C0019,C0142,0.999834490358692,C0055,0.9997243787524515,C0174,0.9995699801085748
C0020,C0198,0.9998115553627972,C0005,0.9995673676039587,C0167,0.9994584360431034
